Recency,Frequency,Monetary
1012,1,85.14
523,1,28.37
1005,1,35.89
757,1,70.96
1188,1,54.94
547,1,71.24
410,1,55.73
911,1,29.2
736,1,80.11
171,2,100.65
841,2,84.37
1109,1,36.98
1214,1,68.15
687,1,73.99
499,1,72.91
447,2,69.24
922,1,69.1
447,1,27.44
467,1,41.88
370,3,117.3
443,1,54.78
967,1,37.89
265,1,44.07
1299,1,58.99
658,1,35.95
512,1,29.74
786,1,12.73
315,1,55.93
1299,1,31.54
1225,1,88.57
896,1,28.76
1419,1,97.27
466,1,87.94
160,1,21.91
377,1,52.68
118,1,32.98
24,2,45.43
854,1,66.2
747,1,93.52
1568,1,31.87
568,1,25.59
2,2,131.72
1038,1,26.73
1276,1,40.59
309,1,33.22
442,1,51.56
1025,1,13.38
390,1,31.39
84,1,6.68
164,1,8.04
1437,1,24.99
842,1,26.56
1536,1,67.22
62,3,229.32
24,1,60.71
7,1,73.27
1009,1,7.36
115,1,81.77
954,1,24.95
818,1,60.27
959,1,47.35
500,1,25.68
434,1,75.84
1183,1,46.93
1255,1,37.23
1139,1,11.55
630,1,18.8
467,1,21.43
521,1,63.56
576,1,68.09
1042,1,48.72
1362,1,36.83
523,1,20.39
178,1,24.09
409,3,169.59
1117,1,69.68
957,1,19.27
1358,1,51.96
1376,1,80.17
674,1,80.2
794,1,49.66
659,1,23.01
1369,1,21.43
1462,1,20.4
564,1,14.72
1524,1,69.83
977,2,122.48
521,1,32.85
1540,1,29.45
1522,1,95.84
1126,1,52.53
1242,1,42.12
1101,1,76.92
953,2,89.329994
765,1,7.69
684,1,29.31
101,2,139.32
1553,1,85.22
1583,1,60.67
1121,1,39.45
791,1,16.93
1104,2,101.4
811,1,12.48
1504,1,26.73
629,1,27.57
870,1,91.81
1529,1,38.57
453,1,94.59
1190,1,80.44
366,1,23.49
1249,1,29.46
666,1,14.93
1120,1,23.85
46,1,72.4
1097,1,21.78
54,1,82.17
288,1,73.4
1429,1,73.09
748,1,43.8
1414,1,22.38
619,1,23.28
1437,1,54.02
899,1,97.51
104,1,8.25
1441,1,6.99
715,1,13.86
1538,1,16.54
187,1,17.55
415,1,46.01
1294,1,67.99
200,1,55.2
854,2,137.06
324,1,94.89
117,1,16.32
80,1,61.79
1413,1,62.48
388,1,33.9
49,1,12.05
407,1,97.85
1093,1,53.02
267,1,8.9
1457,1,51.84
431,1,74.56
1459,1,99.25
8,1,47.56
585,1,85.42
559,1,80.58
448,1,61.87
1479,1,7.91
1593,1,11.59
489,1,98.58
301,1,11.8
919,1,5.34
733,1,97.71
59,1,63.26
502,1,88.56
1109,1,68.77
57,1,77.0
33,1,53.33
755,1,12.57
1349,1,22.46
451,1,99.63
1361,1,36.42
1038,1,24.47
706,1,71.51
1088,1,16.58
731,1,45.94
500,1,60.53
1238,1,10.28
364,1,9.79
1133,1,92.31
755,1,37.17
301,1,15.55
322,1,14.88
1498,1,46.35
151,1,14.92
293,1,89.99
1003,1,58.17
497,1,81.6
276,1,96.86
913,1,44.98
1203,4,269.07
426,1,86.45
516,1,11.19
395,1,86.09
82,1,84.34
84,2,175.73001
339,1,68.25
436,1,44.3
762,1,44.16
101,1,10.69
498,2,140.75
791,1,38.12
157,1,81.97
1547,1,45.34
1507,1,72.2
106,1,53.99
618,1,21.25
1515,1,46.21
359,1,21.73
199,1,42.68
1495,1,38.95
1447,1,88.26
144,1,12.03
448,1,85.71
1430,1,95.56
1464,1,27.93
750,1,29.99
732,2,81.18
629,1,17.52
1110,1,49.52
1090,1,41.23
494,1,6.97
1134,1,50.52
1270,1,51.23
616,1,31.49
87,1,70.37
735,1,74.31
1510,1,91.6
1330,1,57.2
1281,1,36.45
937,1,57.09
115,1,39.82
666,1,85.25
322,1,50.03
328,1,9.96
920,1,55.81
211,1,27.59
757,1,43.11
684,1,40.79
1382,1,61.23
946,1,55.47
422,1,47.33
745,1,20.89
813,1,43.62
877,1,25.36
869,1,14.86
1328,1,93.88
614,1,51.16
1192,1,84.57
434,1,9.84
1172,1,51.13
723,1,97.85
576,1,72.24
75,1,29.17
20,1,54.65
1306,1,89.43
750,1,98.01
1509,1,99.69
1494,1,64.14
1481,1,31.84
233,2,63.230003
236,2,118.97
552,1,19.76
667,1,23.14
1138,1,47.43
123,1,97.79
1054,1,97.83
1336,1,45.72
1443,1,51.09
1420,1,76.32
1324,1,93.65
1044,1,55.63
1133,1,58.47
606,1,80.88
1017,1,45.38
680,1,81.49
42,1,77.83
1003,1,37.61
618,3,127.08
1327,1,33.67
499,1,98.0
1442,1,85.89
405,1,86.54
625,1,92.94
1051,1,45.57
852,1,20.36
332,1,56.77
659,1,50.18
1275,2,96.020004
890,1,92.44
1147,1,74.54
477,1,20.37
1029,1,51.53
1004,1,41.95
849,1,98.18
941,1,8.68
1477,1,34.76
1278,1,70.68
1466,1,55.8
413,1,67.91
1260,1,81.56
293,1,40.43
1335,1,9.24
1203,1,14.51
1005,1,22.4
61,1,5.24
106,1,73.67
1152,1,16.8
923,1,20.08
1158,1,60.41
1489,1,48.86
1393,1,99.38
1157,1,28.86
1520,1,29.09
98,1,12.44
790,1,37.24
305,1,5.99
376,1,13.77
141,1,71.33
1486,1,53.42
191,1,19.26
1477,1,89.57
213,1,67.89
451,1,65.8
761,1,70.5
958,1,57.83
21,2,59.36
1148,1,8.04
1116,1,20.49
1119,2,151.41
1563,1,63.23
351,1,38.23
25,1,96.73
1105,1,26.16
1038,1,30.14
670,1,99.96
1499,1,85.57
42,1,86.26
136,1,84.39
344,1,87.07
1561,1,65.43
172,1,72.66
852,1,56.82
275,1,18.54
1087,1,99.93
1025,1,16.03
1243,1,90.66
1245,1,18.52
90,1,63.52
1154,1,45.06
56,1,66.03
1358,1,96.65
377,1,64.17
1358,1,27.31
374,1,79.14
1427,1,41.42
649,1,19.23
1354,1,53.02
92,1,50.12
527,1,83.03
1174,1,14.16
1016,1,95.64
1058,1,55.17
454,1,41.73
1328,1,23.3
496,1,54.48
659,1,71.41
366,1,31.6
1236,1,77.73
736,1,75.73
971,1,98.9
514,1,92.24
174,1,6.17
1548,1,46.58
1355,1,77.24
45,1,55.83
272,1,45.78
1506,1,10.79
232,1,16.77
938,1,67.33
438,1,25.08
139,1,26.72
732,1,91.73
1460,1,84.89
1588,1,99.57
1286,1,10.35
1098,1,38.08
1446,1,53.94
788,1,28.86
561,1,44.48
17,1,36.89
540,3,117.490005
1348,1,51.69
1330,1,30.77
1339,1,9.3
707,1,85.29
250,2,121.73
192,1,94.16
130,1,22.43
589,1,85.86
544,1,64.71
397,1,65.85
1559,1,93.2
1070,1,44.47
509,2,37.41
636,1,37.24
924,1,89.66
713,1,87.29
1505,1,13.6
96,1,85.99
702,1,22.92
284,3,147.56
831,1,52.51
744,2,99.82
1262,1,94.96
1003,1,27.75
295,2,87.380005
938,1,33.25
1540,1,91.12
209,1,27.73
472,1,52.38
845,1,92.65
175,1,60.55
870,1,75.57
800,1,63.93
976,1,14.5
1551,1,79.55
1186,1,9.1
1443,1,19.47
365,1,13.52
1488,1,42.86
1556,1,5.57
1470,1,94.27
624,1,8.09
606,1,9.25
555,1,67.47
1544,1,12.68
1424,1,19.96
270,2,105.72
1376,1,39.89
947,1,51.26
415,1,15.55
955,1,75.9
91,1,57.96
86,1,71.95
28,1,87.04
1031,1,82.63
1031,1,74.59
370,1,38.17
1068,1,36.8
1087,1,79.75
196,1,63.66
1377,1,89.41
401,1,92.6
196,1,39.42
239,1,45.47
1276,1,81.84
42,4,162.41
461,1,54.35
1584,1,41.14
385,1,6.13
1182,1,73.77
174,1,37.68
492,1,24.71
104,1,90.0
798,1,53.48
939,1,12.58
396,1,76.14
477,1,67.65
1280,1,69.97
659,1,99.27
427,1,26.58
558,1,61.81
203,1,37.37
539,1,63.46
1134,1,9.62
537,1,62.99
1127,1,41.09
347,1,29.17
681,1,45.14
664,1,71.87
1498,1,72.26
522,1,78.69
1288,1,51.8
575,1,16.0
919,1,62.93
1293,1,8.7
29,1,84.85
461,1,25.58
810,1,63.3
368,1,74.95
347,1,92.32
1174,1,91.02
1031,1,67.12
947,1,79.92
79,1,41.69
328,1,98.24
295,1,46.97
636,1,5.73
847,1,28.59
1303,1,19.94
672,1,36.11
1473,1,77.53
1436,1,65.37
34,1,59.04
852,1,8.47
419,1,98.7
741,1,59.85
33,1,89.79
5,2,142.56
139,1,15.56
982,1,45.87
1457,1,15.66
132,1,8.7
688,1,91.87
1058,2,108.009995
25,1,29.25
840,1,77.56
1487,1,31.42
172,2,172.9
1243,1,96.09
63,1,69.05
511,1,48.41
1121,1,61.16
1154,1,55.46
1109,1,94.44
1101,1,42.18
1210,1,15.43
539,1,96.24
670,1,22.53
1054,1,94.9
665,3,204.63
520,1,33.04
1013,1,42.15
1176,1,78.69
725,1,32.29
517,1,80.11
419,1,53.38
34,1,70.88
1125,1,31.49
1377,1,71.07
660,1,44.89
136,1,63.83
848,1,27.23
1393,2,146.46
413,1,46.62
636,1,18.98
968,1,10.14
213,1,23.09
895,1,54.78
533,1,26.62
870,1,74.92
544,1,67.39
1527,1,37.69
926,1,71.39
652,1,30.98
621,1,73.41
143,1,44.61
1022,1,75.39
430,1,62.6
703,1,74.96
1410,1,75.29
616,1,78.04
33,1,85.06
1201,1,48.15
1148,1,99.81
800,1,58.44
703,1,69.33
552,1,83.05
807,1,49.44
468,1,46.03
1225,1,30.65
580,1,30.83
1340,1,29.91
969,1,55.92
757,1,61.33
478,1,66.36
189,1,27.07
1281,1,93.76
709,1,56.06
1572,1,64.48
923,1,75.96
276,1,52.0
1187,1,21.22
538,1,64.37
217,1,9.61
851,1,97.24
1236,1,99.55
329,1,50.2
1477,1,81.89
1240,1,10.7
1536,1,20.7
1555,1,77.56
648,1,58.5
44,1,64.48
584,1,80.18
1067,1,30.56
176,1,69.1
84,1,8.46
1500,1,85.33
312,1,35.04
486,1,42.44
927,1,69.35
358,1,10.15
489,2,54.97
347,1,80.33
195,1,55.57
453,3,129.12
1348,1,27.43
517,1,33.32
977,1,54.71
983,1,51.15
1129,1,86.13
876,1,6.65
886,1,27.29
1185,1,76.79
265,1,42.28
572,1,66.6
1486,1,79.05
535,1,91.35
491,1,43.98
389,1,6.49
1260,1,87.27
199,1,30.72
1357,1,75.51
1031,1,14.43
909,1,84.18
354,1,82.98
692,1,28.36
81,1,68.29
849,1,8.41
500,1,17.82
535,1,21.97
913,1,80.04
696,1,5.75
297,1,50.63
128,1,72.43
469,2,165.07999
439,1,74.96
177,1,88.16
1555,1,16.87
1062,1,12.54
1180,1,5.71
404,1,73.7
1204,1,52.19
1238,1,30.18
1292,1,57.95
1561,1,61.47
1559,1,95.99
796,1,30.9
1247,1,69.98
489,1,96.82
496,1,88.7
1563,1,7.97
1292,1,70.23
1309,1,52.34
505,1,5.38
1100,1,88.9
1436,1,55.97
519,1,56.66
909,1,50.39
1451,1,28.41
219,1,74.22
97,1,41.91
508,1,96.26
24,1,86.1
861,1,58.43
1513,1,36.97
940,1,30.08
604,1,28.58
1315,1,71.76
405,1,26.84
1565,1,77.04
1317,1,64.86
1262,1,37.19
562,1,46.74
899,1,56.86
539,1,13.38
574,1,74.21
1402,1,83.48
525,1,39.28
1258,1,22.26
430,1,37.5
42,1,8.9
1014,1,34.04
750,1,23.29
1195,1,64.84
597,1,69.35
1584,1,71.88
876,1,20.2
649,1,44.59
1323,1,16.22
1357,1,67.97
359,1,16.47
1585,1,51.93
1307,1,49.99
1212,1,90.77
293,1,85.23
1154,1,18.21
142,1,82.69
5,1,99.89
900,1,76.37
1089,1,85.91
62,2,95.43
510,1,48.51
354,1,94.57
43,1,77.52
1026,1,49.33
110,1,29.96
1001,1,74.41
1360,1,83.71
1139,1,32.97
353,1,83.74
808,1,61.91
1223,1,92.44
11,1,39.81
1255,1,47.63
576,1,31.42
1495,1,87.47
853,1,62.96
661,1,65.99
1008,1,18.82
638,1,99.44
161,1,56.56
265,1,19.16
1185,1,27.64
138,1,75.3
1187,1,71.64
1535,1,67.52
1500,1,75.88
1596,1,55.54
884,1,6.16
1211,1,61.56
373,1,17.74
1042,1,15.21
866,1,80.32
1496,1,6.84
1184,1,56.47
448,1,20.69
146,1,59.65
1022,1,54.96
528,1,76.88
888,1,29.64
1589,1,81.45
465,1,56.45
1132,1,49.93
1114,1,5.07
911,1,90.32
1244,1,37.73
115,1,18.75
435,1,59.64
118,1,49.73
1412,1,31.76
1164,1,53.18
323,1,12.9
1200,2,79.43
855,1,20.36
1464,1,39.32
444,1,89.51
592,1,8.64
736,1,61.98
412,1,52.33
251,1,86.82
393,1,19.28
116,1,45.43
1593,1,63.15
1339,1,43.97
163,1,33.08
1539,1,49.98
1210,1,73.22
690,2,76.06
1082,1,11.01
670,1,58.49
687,1,72.74
978,1,68.98
791,1,81.44
678,1,24.08
888,1,36.13
407,1,89.67
200,1,60.47
169,1,71.44
630,1,7.85
306,1,9.28
97,1,17.14
1296,1,61.55
499,1,10.06
1115,1,60.94
1148,1,77.4
1079,2,133.06
852,2,129.82
351,1,34.78
954,1,57.08
835,1,94.13
676,1,18.84
81,1,69.21
1492,1,94.54
955,1,65.97
847,1,84.1
188,1,59.33
78,1,26.98
765,1,77.57
1546,1,27.73
723,2,146.45999
605,1,35.56
6,1,85.72
855,1,57.64
1179,1,56.85
58,1,15.58
51,1,63.95
315,1,22.67
1001,1,81.43
881,1,16.22
670,1,44.15
905,1,30.01
314,1,31.31
144,1,54.92
49,1,43.74
1510,1,33.07
868,1,50.25
1287,1,26.71
658,1,25.91
1148,1,12.57
923,1,34.17
702,1,10.22
1094,1,57.45
1146,1,68.79
1096,1,21.49
1276,1,94.38
715,1,87.99
912,1,90.55
255,2,35.76
393,1,97.58
295,1,12.86
1151,1,86.44
257,1,23.64
228,1,97.19
1582,1,40.58
1118,1,88.24
400,1,91.6
146,1,86.38
1417,1,76.09
1087,1,57.09
421,1,18.41
489,1,69.98
228,2,27.560001
1058,1,33.51
1144,1,28.12
477,1,51.37
1148,1,98.7
1417,1,53.45
738,1,74.17
832,1,19.09
919,1,46.82
1302,1,52.35
528,1,72.24
1116,1,22.14
1334,1,10.89
199,1,93.69
1586,1,29.73
851,1,96.59
31,1,12.99
1128,1,70.76
1587,1,83.71
1080,1,9.54
618,1,71.28
1174,1,38.89
606,1,56.29
1569,1,63.57
881,1,85.64
629,1,88.01
1423,1,31.6
1085,1,52.12
794,1,75.57
1516,1,64.17
1381,1,87.63
313,1,86.19
86,1,76.78
646,1,39.34
181,2,156.26
1163,1,85.19
1296,1,62.94
402,1,23.2
531,1,21.21
20,1,82.18
951,1,96.69
1524,1,42.96
1160,1,62.42
1512,1,39.27
719,1,78.18
782,1,96.86
971,1,15.85
83,1,21.93
570,1,96.45
199,1,83.65
322,1,64.81
93,1,78.62
1165,1,74.07
718,1,86.46
915,1,75.91
785,2,103.67
572,1,23.99
1029,1,79.01
419,1,49.06
1242,1,38.69
843,1,44.61
23,1,70.03
1091,1,39.68
408,1,69.9
1453,1,46.0
191,1,47.71
901,1,61.03
148,2,96.69
1284,1,58.54
97,1,58.91
178,1,33.78
105,1,90.08
894,1,10.57
398,1,73.11
717,1,58.75
1410,1,37.87
230,1,99.83
1259,1,51.72
1511,1,46.55
307,1,43.81
1268,1,78.73
1109,1,17.52
206,2,64.83
268,1,44.16
43,1,43.03
296,1,32.73
618,1,11.63
1107,1,53.86
342,1,92.58
1177,1,86.67
1082,1,46.0
254,1,98.24
865,1,54.14
1198,2,82.62
1215,1,96.97
422,1,92.31
1235,1,51.93
1585,1,84.35
225,1,31.53
643,1,68.77
415,1,73.03
100,3,204.44
981,1,63.01
3,1,48.73
434,1,51.29
980,1,73.03
996,1,13.84
766,1,46.76
779,1,55.29
497,1,61.29
1008,1,96.0
1377,1,83.68
1542,1,13.03
1090,1,50.35
583,1,65.07
1162,1,76.41
1159,1,35.72
515,1,40.78
205,1,32.98
939,1,19.54
972,1,76.45
1282,1,14.47
624,1,94.4
883,1,61.69
1341,1,36.79
1386,1,82.4
595,1,28.88
921,1,79.51
872,1,97.0
88,1,94.79
820,1,32.33
457,1,9.17
1175,1,50.54
1082,1,64.87
539,1,46.91
438,1,45.39
208,1,83.93
538,1,5.4
1177,1,47.27
771,1,25.82
882,1,8.15
1381,1,43.56
1140,1,90.72
424,1,30.07
318,1,39.11
1252,1,82.13
3,3,185.78
1003,1,52.15
1112,1,10.98
1229,1,54.19
1591,1,47.03
850,1,87.97
1577,1,26.96
151,1,25.67
733,1,41.13
844,1,83.43
1186,1,17.24
849,1,58.99
976,1,22.18
1554,1,75.93
641,1,86.48
268,1,30.29
1159,1,17.02
429,1,41.15
258,1,45.82
1395,1,16.78
1003,1,26.06
271,1,8.77
988,1,84.56
1383,1,6.28
868,1,10.26
781,1,54.7
181,1,35.35
1442,1,38.52
748,1,93.07
300,1,22.28
252,1,37.94
1042,1,63.14
719,1,81.24
1177,1,52.12
582,1,60.18
443,1,37.15
1211,1,9.15
457,1,87.22
319,1,88.69
1427,1,12.78
530,1,61.63
485,1,10.27
1216,1,98.81
686,1,9.25
935,1,67.41
19,1,35.38
406,1,43.18
391,2,81.52
1464,1,17.56
1166,1,22.62
1352,1,74.93
686,1,59.67
1316,1,87.44
119,1,51.67
1515,1,15.27
71,1,61.09
1033,1,23.34
763,1,78.21
29,1,81.93
586,1,5.29
759,1,15.49
1464,1,47.73
373,1,76.35
595,1,49.76
575,1,7.48
739,1,26.05
1362,1,87.11
390,1,6.77
1185,1,8.49
1502,1,29.18
940,1,43.26
1094,1,59.64
882,1,61.52
1573,1,49.59
777,1,44.53
968,1,30.01
1549,1,11.4
833,1,57.5
704,1,40.5
693,1,80.51
481,1,52.94
698,1,64.15
104,1,73.65
1066,1,13.16
47,2,154.73
1357,1,84.4
1086,1,17.74
364,1,75.57
933,1,92.83
1269,1,67.25
7,1,55.44
1118,1,94.48
1252,1,34.9
478,1,17.51
1555,1,70.02
1491,1,66.43
423,1,58.33
173,1,27.47
1058,1,13.2
1456,1,60.34
727,1,66.27
1318,1,33.46
876,1,6.45
484,1,93.36
1535,1,33.43
1354,1,72.37
1147,1,73.31
1597,1,11.34
645,1,54.05
1055,1,7.81
308,1,30.89
162,1,93.06
331,1,65.36
56,1,85.99
865,1,8.55
722,1,9.18
834,1,98.85
717,1,43.41
163,1,65.51
509,1,99.3
363,1,62.92
108,1,90.15
813,1,54.78
1369,1,98.48
1136,1,16.54
1065,1,69.24
1577,1,27.31
1547,1,32.8
537,1,57.6
928,1,73.82
967,1,37.46
41,1,95.04
1088,1,24.11
219,1,43.77
1118,1,61.91
147,1,40.83
339,1,9.41
1035,1,86.33
1176,1,51.83
347,1,73.22
393,1,65.28
460,1,87.17
542,1,91.25
708,1,27.74
729,1,46.52
710,1,14.8
197,1,82.35
1260,1,77.11
208,1,69.6
573,1,18.69
1553,1,56.55
1307,1,67.44
665,1,90.61
142,1,63.19
522,2,27.85
1244,1,14.49
1045,1,32.98
1489,1,36.07
720,1,58.38
867,1,27.88
1181,1,40.7
1538,1,44.47
641,1,85.71
202,1,33.44
827,1,76.79
1597,1,13.36
1110,1,44.93
364,1,94.3
898,1,49.0
187,1,73.29
1060,1,95.28
626,1,95.61
715,1,32.74
502,1,34.97
300,1,82.75
372,1,29.91
1203,1,33.38
487,1,24.77
1167,1,11.4
1227,1,72.44
107,1,95.91
1427,1,96.04
1258,1,72.35
1195,1,64.56
1486,1,14.55
34,1,67.62
1468,1,79.32
757,1,6.03
23,1,51.06
832,1,86.36
1468,1,72.25
330,1,70.57
314,1,10.08
1055,1,42.35
1107,1,62.52
1484,1,87.87
274,1,98.81
543,1,48.74
738,1,88.04
1465,1,9.97
1025,1,55.31
134,1,29.55
751,1,54.07
792,1,50.29
272,1,35.99
1255,1,71.62
331,1,33.58
700,1,73.98
376,1,15.29
1209,1,98.85
1062,1,69.32
586,1,16.39
645,1,28.58
397,1,65.1
967,1,75.61
717,1,77.88
1302,1,29.63
969,1,63.34
1365,1,91.46
375,1,29.22
238,1,80.11
553,1,85.79
432,1,23.32
701,1,19.76
408,1,46.92
949,1,61.96
1435,1,84.95
20,1,30.35
1557,1,24.78
1488,1,22.17
1265,1,19.13
253,1,74.1
485,1,81.47
531,1,72.15
83,1,61.24
825,1,62.86
42,1,88.06
1443,1,60.1
1379,1,39.45
690,1,90.5
1319,1,96.97
699,1,83.52
438,1,85.73
1386,1,72.22
1126,1,67.59
596,1,8.87
557,1,16.56
61,1,5.69
567,1,22.81
1245,1,62.74
1249,1,90.37
1458,1,16.44
1011,1,18.54
1298,1,17.7
212,1,64.54
1230,1,75.49
700,1,66.09
1400,1,86.26
380,1,5.13
1076,1,14.56
137,1,43.81
693,1,36.52
154,1,23.16
582,1,12.65
664,1,96.95
432,1,85.81
854,2,81.6
240,1,87.55
621,1,78.43
360,1,97.81
1058,1,47.96
510,1,29.48
503,1,86.05
612,1,13.43
929,1,72.41
1116,1,61.2
963,1,41.14
1039,1,95.68
160,1,72.82
1383,1,12.92
1233,1,6.97
1136,1,15.3
604,1,28.68
1412,1,91.46
148,1,73.89
578,1,24.74
1590,1,95.21
874,1,31.91
700,1,24.11
29,2,102.33
356,1,73.37
643,2,156.23001
1153,1,73.77
255,1,76.78
1330,1,29.45
379,1,28.9
684,1,88.4
566,1,90.83
69,1,91.21
205,1,65.63
889,1,13.96
397,1,61.24
1120,1,94.1
1116,1,92.05
1105,1,97.83
268,1,89.59
740,1,95.06
848,1,72.16
497,1,86.16
1077,1,99.52
392,1,65.21
1282,1,31.52
1456,1,15.59
1409,1,96.0
1117,1,67.86
693,1,86.86
610,1,71.17
813,1,56.3
1291,1,17.49
767,1,80.12
311,1,75.24
557,1,31.33
1549,1,40.34
109,1,68.88
1271,1,98.79
1160,1,22.79
1234,1,12.42
1590,1,48.6
398,2,146.28
1437,1,38.91
752,1,42.82
564,1,22.9
170,1,27.85
328,1,23.11
278,1,90.05
1399,1,61.82
1214,1,10.7
1471,1,56.08
480,1,82.71
912,1,64.41
1226,1,31.31
162,1,25.01
1101,1,23.06
459,1,14.38
899,1,45.13
769,1,25.61
1239,1,95.95
0,1,15.17
446,1,41.84
312,1,23.99
1453,1,75.71
502,1,79.48
898,1,97.25
405,1,39.36
629,1,19.04
246,1,20.03
1027,1,83.64
467,1,51.67
1240,1,63.21
1545,1,42.66
40,1,70.94
818,1,30.55
1350,1,64.41
1223,1,72.01
967,1,61.94
1554,1,52.49
711,1,57.38
271,2,112.2
1155,1,44.04
828,1,35.98
341,1,21.0
277,1,58.27
796,1,92.22
1492,1,66.08
530,1,74.01
928,2,114.53
1345,1,92.26
930,1,67.95
880,1,20.49
1055,1,86.53
1346,1,25.74
1155,1,72.38
363,1,84.67
593,1,52.88
334,1,34.07
27,1,92.74
1527,1,80.66
68,1,91.74
1548,1,14.75
168,1,69.4
764,1,63.59
1240,1,79.48
762,1,32.49
1083,1,34.92
714,1,57.02
874,1,47.89
731,1,47.24
727,1,56.23
